atleta_id,fbref_xG_jogo,fbref_xA_jogo
36856,,
36943,,
37245,,
37281,,
37424,,
37457,,
37656,0.0,0.0
37715,0.0,0.0
37788,0.0,0.0
37865,,
38138,0.0,0.0
38141,0.0,0.0
38144,0.0,0.0
38162,0.0,0.0
38225,,
38229,,
38279,,
38394,,
38398,0.0,0.0
38402,0.0,0.0
38509,0.0,0.0
38545,,
38588,,
38750,,
38877,0.0,0.0
38909,0.015384615384615385,0.007692307692307693
38913,0.0,0.0
38959,,
39148,0.0,0.0
39572,,
39656,0.0,0.0
39850,0.0,0.0
40006,,
40990,,
41327,,
41929,,
42116,,
42135,0.0,0.0
42145,,
42222,0.05,0.11153846153846153
42234,0.0,0.0
42411,0.0,0.0
42500,0.011111111111111112,0.044444444444444446
43618,,
45125,0.015384615384615385,0.007692307692307693
49675,0.0,0.0
50297,,
50301,,
50317,,
50347,0.0,0.0
50353,0.0,0.0
50428,,
50456,,
50856,,
50879,,
51042,,
51413,0.0,0.0
51548,0.0,0.0
51772,0.0,0.0
52253,0.0,0.0
52271,0.0,0.0
52827,0.0,0.0
53148,0.0,0.0
53865,,
60793,0.0,0.0
60795,,
60803,0.0,0.0
60825,,
60852,,
60969,,
61033,,
61106,0.0,0.0
61188,0.0,0.0
61228,0.0,0.0
61987,0.010526315789473684,0.06315789473684211
62020,,
62023,,
62104,,
62114,0.0,0.0
62129,,
62130,,
62969,0.0,0.0
62977,0.0,0.0
63007,0.0,0.0
63008,0.0,0.0
63011,,
63013,0.0,0.0
63024,,
63058,,
63110,0.0,0.0
63172,,
63219,,
63289,0.0,0.0
63354,,
68685,0.0,0.0
68690,,
68698,,
68708,0.03076923076923077,0.019230769230769232
68727,0.0,0.0
68770,0.0,0.0
68773,,
68806,0.0,0.0
68808,,
68811,0.0,0.0
68817,,
68827,,
68833,,
68872,0.0,0.0
68895,,
68899,0.0,0.0
68917,,
68920,0.0,0.0
68923,0.0,0.0
68928,0.0,0.0
68940,,
68942,,
68952,0.0,0.0
68954,,
68991,0.0,0.0
68996,0.0,0.0
69010,,
69012,0.4095238095238095,0.10476190476190476
