Clube,Pos,Nome,Status,Jogos,Média,M. Básica,Escanteios/Jogo,XA/Jogo,XG/Jogo,Assistências,Gols,G + A
BAH,ATA,Erick Pulga,0,23,5.42,5.93,0.0,0.34,0.5,3,3,6
MIR,MEI,Gabriel,0,20,3.15,3.84,0.0,0.23,0.41,2,4,6
FLU,ATA,Cano,0,19,4.49,4.74,0.0,0.13,0.56,0,6,6
CRU,LAT,Kaiki Bruno,0,33,7.35,7.57,0.0,0.25,0.2,5,1,6
BOT,LAT,Alex Telles,0,21,5.72,6.26,0.0,0.15,0.29,2,4,6
GRE,ATA,Amuzu,0,19,3.49,3.86,0.0,0.22,0.37,2,3,5
Clube 286,MEI,Nenê,0,20,2.74,3.15,0.0,0.3,0.35,3,2,5
RBB,ATA,Lucas Barbosa,0,26,4.84,5.78,0.0,0.25,0.3,3,2,5
BOT,MEI,Montoro,0,14,4.9,4.9,0.0,0.31,0.3,3,2,5
SAO,ATA,Tapia,0,18,4.34,4.82,0.0,0.22,0.65,0,5,5
Clube 356,ATA,Herrera,0,15,4.99,4.99,0.0,0.25,0.26,3,2,5
MIR,ATA,Chico da Costa,0,16,3.02,3.61,0.0,0.1,0.48,0,5,5
PAL,ATA,Ramón Sosa,0,16,2.79,3.68,0.0,0.21,0.34,2,3,5
BAH,ATA,Tiago,0,18,2.9,3.76,0.0,0.25,0.39,2,3,5
