CLUBE,POS,NOME,JOGOS,MÉDIA,M. BÁSICA,ESCANTEIOS/JOGO,XA/JOGO,XG/JOGO,ASSISTÊNCIAS,GOLS,G + A
Palmeiras,LAT,Jefté,7,4.14,2.71,0.0,0.07,0.03,1,0,1
Santos,LAT,Mayke,15,4.13,4.13,0.0,0.06,0.01,0,0,0
Atlético-MG,ZAG,Junior Alonso,28,4.13,3.67,0.0,0.01,0.02,1,0,1
Santos,ZAG,Zé Ivaldo,20,4.13,3.73,0.0,0.0,0.06,0,1,1
,ZAG,Luan Freitas,13,4.1,3.72,0.0,0.03,0.01,1,0,1
Vitória,ZAG,Lucas Halter,31,4.09,2.9,0.0,0.03,0.08,1,3,4
,TEC,Pepa,6,4.09,4.09,0.0,0.0,0.0,0,0,0
Bragantino,LAT,Guilherme Lopes,10,4.08,2.78,0.0,0.1,0.09,1,1,2
Cruzeiro,MEI,Christian,30,4.07,2.4,0.0,0.16,0.2,2,4,6
Botafogo,ATA,Arthur Cabral,20,4.06,2.21,0.0,0.07,0.31,2,3,5
,ATA,Bareiro,18,4.05,1.11,0.0,0.01,0.71,0,6,6
,TEC,Thiago Carpini,32,4.04,4.04,0.0,0.05,0.08,1,2,3
,TEC,Daniel Paulista,20,4.03,4.03,0.0,0.05,0.09,0,0,0
Vitória,MEI,Baralhas,26,4.03,3.22,0.0,0.02,0.06,1,1,2
,ATA,Batalla,21,4.02,2.26,0.0,0.02,0.02,0,0,0
Grêmio,GOL,Tiago Volpi,29,4.01,3.74,0.0,0.0,0.05,0,2,2
Palmeiras,ZAG,Murilo,16,4.01,3.51,0.0,0.18,0.23,7,3,10
Botafogo,ZAG,David Ricardo,20,4.0,2.95,0.0,0.03,0.06,1,1,2
Internacional,GOL,Ivan,6,4.0,4.0,0.0,0.0,0.0,0,0,0
Vitória,MEI,Matheuzinho,27,4.0,2.63,0.0,0.1,0.22,1,3,4
Botafogo,MEI,Santiago Rodríguez,24,3.99,2.49,0.0,0.26,0.11,4,2,6
Flamengo,LAT,Alex Sandro,20,3.99,3.99,0.0,0.07,0.01,0,0,0
Palmeiras,MEI,Maurício,25,3.98,1.82,0.0,0.18,0.23,7,3,10
Internacional,ATA,Borré,29,3.98,2.26,0.0,0.07,0.41,2,5,7
Bragantino,GOL,Cleiton,31,3.97,3.97,0.0,0.0,0.0,0,0,0
Bragantino,ATA,Eduardo Sasha,30,3.96,2.02,0.0,0.09,0.38,2,6,8
Vitória,LAT,Raúl Cáceres,18,3.94,2.5,0.0,0.09,0.07,2,2,4
Grêmio,MEI,Villasanti,15,3.93,3.93,0.0,0.02,0.01,0,0,0
,ATA,Pedro Henrique,26,3.93,2.12,0.0,0.03,0.03,1,1,2
,LAT,Fabiano Souza,31,3.93,3.93,0.0,0.02,0.01,1,0,1
,GOL,Bruno Ferreira,29,3.93,3.93,0.0,0.0,0.0,0,0,0
,ATA,Pedro Raul,31,3.92,2.11,0.0,0.1,0.35,1,10,11
Palmeiras,ATA,Facundo Torres,27,3.9,1.86,0.0,0.17,0.22,3,5,8
Botafogo,GOL,Léo Linck,14,3.89,3.89,0.0,0.0,0.0,0,0,0
Corinthians,ATA,Vitinho,12,3.88,2.62,0.0,0.25,0.08,1,0,1
,LAT,Matheus Alexandre,24,3.88,3.67,0.0,0.05,0.02,1,0,1
Cruzeiro,ATA,Sinisterra,11,3.87,1.96,0.0,0.03,0.22,0,2,2
,LAT,Tinga,11,3.87,3.15,0.0,0.13,0.46,2,3,5
Atlético-MG,LAT,Guilherme Arana,19,3.87,3.61,0.0,0.1,0.09,1,1,2
,MEI,Matheusinho,22,3.86,2.23,0.0,0.1,0.22,1,3,4
