Clube,Jogador,Status,3 Jogos,5 Jogos,MAX 3,MAX 5,Últimos 3 Jogos (%),% D
GRE,Cristaldo MEI,0,6.67,5.4,3,5,100.0,92.9
MIR,Rafael Guanaes TEC,0,6.63,6.27,3,5,66.67,92.1
FLU,Nonato MEI,0,6.63,4.68,3,5,100.0,95.0
PAL,Flaco López ATA,0,6.6,6.6,3,5,100.0,93.3
INT,Ramon LAT,0,6.57,5.56,3,5,100.0,100.0
COR,Hugo Souza GOL,0,6.57,5.1,3,5,33.33,73.1
COR,Gustavo Henrique ZAG,0,6.5,7.72,3,5,66.67,82.6
GRE,Gabriel Grando GOL,0,6.5,6.82,3,5,100.0,85.7
RBB,Cauê LAT,0,6.5,6.5,1,1,33.33,50.0
GRE,Igor Serrote LAT,0,6.47,8.58,3,5,100.0,100.0
BAH,Ronaldo GOL,0,6.47,5.78,3,5,100.0,92.3
VIT,Neris ZAG,0,6.47,5.56,3,5,100.0,60.0
FLU,Gabriel Fuentes LAT,0,6.43,4.38,3,5,66.67,81.8
PAL,Marcos Rocha LAT,0,6.37,5.74,3,5,100.0,100.0
BAH,Rogério Ceni TEC,0,6.35,6.29,3,5,100.0,94.7
INT,Borré ATA,0,6.33,6.44,3,5,66.67,79.3
GRE,Balbuena ZAG,0,6.33,6.33,3,3,100.0,100.0
SAO,Rafael Tolói ZAG,0,6.33,7.18,3,5,66.67,71.4
FLU,Samuel Xavier LAT,0,6.3,6.02,3,5,100.0,92.6
INT,Carbonero ATA,0,6.27,4.04,3,5,66.67,91.3
FLA,Emerson Royal LAT,0,6.23,5.46,3,5,100.0,92.3
MIR,João Victor ZAG,0,6.17,6.46,3,5,66.67,87.1
RBB,Matheus Fernandes MEI,0,6.13,4.3,3,5,66.67,77.8
FLA,Carrascal MEI,0,6.13,6.42,3,5,100.0,93.3
PAL,Abel Ferreira TEC,0,6.11,7.59,3,5,33.33,86.8
CRU,William LAT,0,6.1,7.62,3,5,100.0,90.0
GRE,Jemerson ZAG,0,6.1,5.7,3,5,66.67,66.7
VAS,Barros MEI,0,6.1,4.1,3,5,66.67,87.5
INT,Mercado ZAG,0,6.03,4.7,3,5,66.67,92.3
FLA,Samuel Lino ATA,0,6.03,7.4,3,5,66.67,94.7
Clube 286,Marcelo Hermes LAT,0,6.0,7.14,3,5,100.0,95.0
SAO,Nicolas LAT,0,6.0,6.0,1,1,33.33,100.0
PAL,Khellven LAT,0,5.93,7.02,3,5,100.0,90.9
Clube 292,Pablo ATA,0,5.93,4.08,3,5,66.67,68.4
BOT,David Ricardo ZAG,0,5.93,8.2,3,5,66.67,75.0
CAM,Igor Gomes MEI,0,5.9,3.88,3,5,100.0,82.1
CAM,Cuello ATA,0,5.9,6.42,3,5,100.0,93.8
CRU,Léo Aragão GOL,0,5.87,5.98,3,4,100.0,100.0
FLA,Cleiton ZAG,0,5.85,5.85,2,2,66.67,100.0
MIR,Alesson ATA,0,5.83,4.74,3,5,100.0,91.3
BOT,Mateo Ponte LAT,0,5.8,4.14,3,5,100.0,77.8
GRE,Tiago Volpi GOL,0,5.8,4.7,3,5,66.67,89.7
GRE,Amuzu ATA,0,5.77,5.86,3,5,66.67,90.5
BAH,Gilberto LAT,0,5.73,6.16,3,5,66.67,85.7
CRU,Christian MEI,0,5.73,4.42,3,5,66.67,90.0
RBB,Cleiton GOL,0,5.7,4.48,3,5,66.67,93.5
FLU,Lucho Acosta MEI,0,5.7,5.54,3,5,100.0,92.9
SAN,César Sampaio TEC,0,5.67,5.67,3,3,100.0,100.0
FLU,Martinelli MEI,0,5.67,3.94,3,5,66.67,77.4
SAO,Luciano ATA,0,5.63,6.06,3,5,66.67,83.9
INT,Aguirre LAT,0,5.63,4.96,3,5,66.67,93.3
FLU,Freytes ZAG,0,5.63,4.66,3,5,66.67,87.1
RBB,Isidro Pitta ATA,0,5.6,4.88,3,5,33.33,61.9
PAL,Jefté LAT,0,5.6,5.92,3,5,100.0,71.4
INT,Abel Braga TEC,0,5.6,5.6,2,2,66.67,100.0
CAM,Natanael LAT,0,5.57,6.64,3,5,100.0,93.3
Clube 286,Ewerthon LAT,0,5.57,4.82,3,5,33.33,72.2
GRE,Willian MEI,0,5.57,5.57,3,3,66.67,75.0
BOT,Vitinho LAT,0,5.53,5.84,3,5,66.67,90.6
CRU,Fagner LAT,0,5.53,5.8,3,5,100.0,100.0
Clube 356,Breno Lopes ATA,0,5.53,5.82,3,5,100.0,96.3
INT,Ricardo Mathias ATA,0,5.53,5.4,3,5,100.0,72.7
COR,Charles MEI,0,5.53,6.02,3,5,66.67,47.1
BAH,Zé Guilherme LAT,0,5.5,5.5,2,2,66.67,66.7
MIR,Felipe Jonatan LAT,0,5.5,5.5,2,2,66.67,33.3
VIT,Rodrigo Chagas TEC,0,5.48,5.48,2,2,66.67,100.0
GRE,Marlon LAT,0,5.47,7.48,3,5,100.0,93.1
SAO,Hernán Crespo TEC,0,5.44,5.01,3,5,100.0,100.0
CRU,Kauã Moraes LAT,0,5.43,5.32,3,4,66.67,80.0
COR,André Ramalho ZAG,0,5.43,5.24,3,5,100.0,81.0
GRE,Gustavo Martins ZAG,0,5.4,5.1,3,5,100.0,94.1
CAM,Saravia LAT,0,5.37,3.88,3,5,100.0,84.6
FLU,Thiago Santos ZAG,0,5.37,6.64,3,5,66.67,70.0
BAH,Iago LAT,0,5.37,5.38,3,5,66.67,61.5
FLA,Bruno Henrique ATA,0,5.37,9.26,3,5,100.0,80.0
Clube 356,Brenno GOL,0,5.37,4.64,3,5,66.67,69.2
Clube 286,Gerson Ramos TEC,0,5.35,5.35,1,1,33.33,100.0
FLA,Varela LAT,0,5.33,5.08,3,5,100.0,85.0
Clube 356,Martín Palermo TEC,0,5.31,5.0,3,5,66.67,87.5
SAN,Pedro Caixinha TEC,0,5.3,5.3,2,2,66.67,100.0
BOT,Danilo MEI,0,5.3,4.4,3,5,100.0,81.8
MIR,Daniel Borges LAT,0,5.3,6.32,3,5,100.0,86.7
BOT,Barrera MEI,0,5.3,3.32,3,5,100.0,100.0
BOT,Jeffinho ATA,0,5.3,5.34,3,5,66.67,73.3
