Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 34,Unnamed: 35,MP.1,Clube
Kauê,br BRA,MF,21-036,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Kayke,br BRA,FW,19-161,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Cristhian Loor,ec ECU,GK,19-263,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Rhyan,br BRA,GK,19-328,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Serafim,br BRA,DF,21-195,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Raul Steffens,br BRA,GK,28-122,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Kauan Toledo,br BRA,FW,19-226,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Cauã Zappelini,br BRA,MF,18-246,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Botafogo (RJ),https://fbref.com/en/squads/d9fdd9d9/Botafogo-RJ-Stats,0.0,Botafogo (RJ)
Santi Ramos Mingo,ar ARG,DF,24-006,,31,2746.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.6,1.6,0.5,2.1,33.0,132.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,31.0,Bahia
Jean Lucas,br BRA,MF,27-158,,31,2539.0,28.2,3.0,1.0,4.0,3.0,0.0,0.0,2.0,2.0,3.9,3.9,3.1,6.9,57.0,118.0,119.0,0.11,0.04,0.14,0.11,0.14,0.14,0.11,0.25,0.14,0.25,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,32.0,Bahia
Luciano Juba,br BRA,DF,26-090,,30,2607.0,29.0,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,2.5,2.5,4.1,6.6,58.0,139.0,76.0,0.17,0.14,0.31,0.17,0.31,0.09,0.14,0.23,0.09,0.23,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,32.0,Bahia
Ronaldo,br BRA,GK,29-097,,25,2178.0,24.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.01,0.01,0.0,0.01,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,25.0,Bahia
Willian José,br BRA,FW,34-004,,25,1873.0,20.8,11.0,5.0,16.0,8.0,3.0,4.0,3.0,0.0,9.3,6.0,3.1,9.1,4.0,32.0,76.0,0.53,0.24,0.77,0.38,0.62,0.45,0.15,0.6,0.29,0.44,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,30.0,Bahia
David Duarte,br BRA,DF,30-307,,24,2207.0,24.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,1.0,2.7,11.0,85.0,3.0,0.04,0.04,0.08,0.04,0.08,0.07,0.04,0.11,0.07,0.11,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,25.0,Bahia
Ademir Santos,br BRA,"FW,MF",30-284,,23,1746.0,19.4,1.0,5.0,6.0,1.0,0.0,0.0,7.0,0.0,4.2,4.2,5.4,9.6,90.0,50.0,232.0,0.05,0.26,0.31,0.05,0.31,0.22,0.28,0.49,0.22,0.49,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,27.0,Bahia
Everton Ribeiro,br BRA,MF,36-231,,22,1726.0,19.2,2.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,1.2,5.0,6.2,45.0,170.0,83.0,0.1,0.16,0.26,0.05,0.21,0.1,0.26,0.37,0.06,0.33,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,28.0,Bahia
Gilberto,br BRA,DF,32-265,,20,1687.0,18.7,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,1.2,1.8,39.0,93.0,47.0,0.05,0.0,0.05,0.05,0.05,0.03,0.07,0.1,0.03,0.1,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,22.0,Bahia
Erick Pulga,br BRA,"FW,MF",25-056,,17,1471.0,16.3,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,5.4,5.4,3.2,8.6,93.0,40.0,158.0,0.18,0.18,0.37,0.18,0.37,0.33,0.2,0.52,0.33,0.52,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,21.0,Bahia
Caio Alexandre,br BRA,MF,26-276,,17,1232.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,1.7,15.0,103.0,19.0,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.13,0.02,0.13,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,18.0,Bahia
Nicolás Acevedo,uy URU,MF,26-227,,15,1491.0,16.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.7,2.0,30.0,109.0,20.0,0.0,0.06,0.06,0.0,0.06,0.02,0.1,0.12,0.02,0.12,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,29.0,Bahia
Santiago Arias,co COL,DF,33-318,,13,1239.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.5,1.0,26.0,67.0,50.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,19.0,Bahia
Marcos Felipe,br BRA,GK,29-228,,10,972.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,11.0,Bahia
Gabriel,br BRA,DF,24-205,,9,858.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.2,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,12.0,Bahia
Kayky Chagas,br BRA,"FW,MF",22-169,,8,890.0,9.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,1.4,2.8,44.0,32.0,96.0,0.1,0.2,0.3,0.1,0.3,0.14,0.14,0.28,0.14,0.28,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,26.0,Bahia
Michel Araujo,uy URU,"MF,FW",29-060,,8,852.0,9.5,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,1.3,1.3,0.6,1.9,29.0,47.0,49.0,0.42,0.11,0.53,0.42,0.53,0.14,0.06,0.2,0.14,0.2,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,24.0,Bahia
Luciano Rodríguez,uy URU,FW,22-134,,8,791.0,8.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.9,2.9,0.2,3.1,18.0,11.0,49.0,0.23,0.0,0.23,0.23,0.23,0.33,0.03,0.35,0.33,0.35,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,18.0,Bahia
Cauly Oliveira Souza,br BRA,"FW,MF",30-073,,7,882.0,9.8,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.7,2.7,0.8,3.5,26.0,45.0,62.0,0.1,0.31,0.41,0.1,0.41,0.28,0.08,0.36,0.28,0.36,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,26.0,Bahia
Rodrigo Nestor,br BRA,MF,25-110,,7,732.0,8.1,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,1.1,1.1,1.4,2.5,11.0,35.0,39.0,0.49,0.0,0.49,0.49,0.49,0.14,0.17,0.3,0.14,0.3,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,19.0,Bahia
Iago,br BRA,"DF,MF",28-249,,7,626.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.4,1.3,7.0,14.0,50.0,0.14,0.0,0.14,0.14,0.14,0.13,0.05,0.19,0.13,0.19,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,15.0,Bahia
Mateo Sanabria,ar ARG,"FW,MF",21-241,,7,569.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,0.1,0.8,37.0,16.0,73.0,0.16,0.0,0.16,0.16,0.16,0.11,0.01,0.12,0.11,0.12,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,10.0,Bahia
Erick,br BRA,"MF,DF",28-013,,6,636.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,0.1,1.6,13.0,35.0,24.0,0.14,0.0,0.14,0.14,0.14,0.21,0.01,0.23,0.21,0.23,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,14.0,Bahia
Tiago,br BRA,"FW,MF",20-233,,5,810.0,9.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,4.1,4.1,1.1,5.3,16.0,11.0,80.0,0.33,0.22,0.56,0.33,0.56,0.46,0.13,0.59,0.46,0.59,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,22.0,Bahia
Rezende,br BRA,"MF,DF",30-329,,5,580.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,11.0,Bahia
Kanu,br BRA,DF,28-265,,4,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,4.0,Bahia
Fredi Gomes,br BRA,DF,19-188,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,1.0,Bahia
Zé Guilherme,br BRA,"DF,FW",20-256,,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,3.0,Bahia
Ruan Pablo,br BRA,"FW,MF",17-127,,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,1.13,1.13,1.13,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,3.0,Bahia
Kauê Junior,br BRA,FW,16-273,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,1.88,1.88,1.88,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,1.0,Bahia
Danilo Fernandes,br BRA,GK,37-238,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Lyan Araujo,br BRA,FW,16-283,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
João Coni,br BRA,MF,19-165,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Dell,br BRA,FW,17-171,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Luiz Gustavo,br BRA,DF,19-229,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Jota,br BRA,MF,21-294,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Kauã,br BRA,DF,21-314,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
David Martins,br BRA,MF,18-073,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
João Paulo,br BRA,GK,30-151,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Roger,br BRA,MF,18-288,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Sidney,br BRA,MF,19-260,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Vitinho,br BRA,MF,21-213,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bahia,https://fbref.com/en/squads/157b7fee/Bahia-Stats,0.0,Bahia
Fábio,br BRA,GK,45-058,,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,35.0,Fluminense
Juan Freytes,ar ARG,DF,25-320,,30,2654.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.9,0.9,0.7,1.7,19.0,103.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,30.0,Fluminense
Martinelli,br BRA,MF,24-201,,29,2455.0,27.3,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,1.9,1.9,2.2,4.1,27.0,129.0,29.0,0.07,0.07,0.15,0.07,0.15,0.07,0.08,0.15,0.07,0.15,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,30.0,Fluminense
Hércules,br BRA,MF,25-038,,25,2092.0,23.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.9,1.9,0.2,2.1,23.0,101.0,34.0,0.13,0.04,0.17,0.13,0.17,0.08,0.01,0.09,0.08,0.09,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,31.0,Fluminense
Agustín Canobbio,uy URU,"FW,MF",27-057,,25,1941.0,21.6,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,4.2,4.2,2.9,7.1,69.0,48.0,184.0,0.09,0.09,0.19,0.09,0.19,0.2,0.14,0.33,0.2,0.33,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,28.0,Fluminense
Renê,br BRA,DF,33-074,,24,2092.0,23.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.6,0.6,2.2,2.8,44.0,114.0,57.0,0.09,0.0,0.09,0.09,0.09,0.03,0.09,0.12,0.03,0.12,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,25.0,Fluminense
Samuel Xavier,br BRA,DF,35-174,,23,2116.0,23.5,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.7,0.7,1.3,2.1,50.0,127.0,81.0,0.17,0.04,0.21,0.17,0.21,0.03,0.06,0.09,0.03,0.09,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,26.0,Fluminense
Thiago Silva,br BRA,DF,41-066,,22,2006.0,22.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,9.0,75.0,5.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,23.0,Fluminense
Kevin Serna,co COL,"FW,MF",27-345,,22,1862.0,20.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,5.1,5.1,2.6,7.7,67.0,39.0,173.0,0.29,0.15,0.44,0.29,0.44,0.24,0.13,0.37,0.24,0.37,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,30.0,Fluminense
Germán Cano,ar ARG,FW,37-298,,18,1498.0,16.6,6.0,0.0,6.0,5.0,1.0,1.0,1.0,0.0,5.2,4.4,0.7,5.1,6.0,29.0,59.0,0.36,0.0,0.36,0.3,0.3,0.31,0.04,0.35,0.26,0.31,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,22.0,Fluminense
Everaldo Stum,br BRA,FW,34-145,,12,1143.0,12.7,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,3.5,2.7,2.3,5.0,12.0,19.0,58.0,0.16,0.0,0.16,0.16,0.16,0.28,0.18,0.46,0.21,0.4,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,25.0,Fluminense
Jhon Arias,co COL,FW,28-067,,12,1079.0,12.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,0.0,2.2,1.4,2.9,4.3,48.0,55.0,106.0,0.08,0.33,0.42,0.0,0.33,0.18,0.24,0.42,0.12,0.36,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,12.0,Fluminense
Lima,br BRA,"MF,FW",29-169,,12,1079.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.5,2.5,1.3,3.8,18.0,33.0,56.0,0.17,0.08,0.25,0.17,0.25,0.21,0.11,0.32,0.21,0.32,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,27.0,Fluminense
Ignácio,br BRA,DF,28-361,,12,1028.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.5,0.8,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,17.0,Fluminense
Luciano Acosta,ar ARG,MF,31-180,,12,981.0,10.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,2.6,2.6,1.6,4.3,20.0,70.0,51.0,0.28,0.09,0.37,0.28,0.37,0.24,0.15,0.39,0.24,0.39,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,13.0,Fluminense
Facundo Bernal,uy URU,MF,22-098,,11,1033.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,0.3,0.8,4.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.07,0.04,0.07,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,21.0,Fluminense
Guga,br BRA,DF,27-090,,11,992.0,11.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,1.0,10.0,50.0,26.0,0.09,0.09,0.18,0.09,0.18,0.01,0.08,0.1,0.01,0.1,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,17.0,Fluminense
Gabriel Fuentes,co COL,DF,28-291,,8,825.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.5,0.6,16.0,46.0,64.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,11.0,Fluminense
Ganso,br BRA,MF,36-046,,7,592.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,5.0,42.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,14.0,Fluminense
Nonato,br BRA,MF,27-269,,6,712.0,7.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.3,0.8,12.0,25.0,19.0,0.13,0.0,0.13,0.13,0.13,0.06,0.04,0.1,0.06,0.1,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,17.0,Fluminense
John Kennedy,br BRA,FW,23-193,,6,565.0,6.3,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.7,1.0,0.9,1.9,9.0,17.0,37.0,0.16,0.16,0.32,0.0,0.16,0.28,0.14,0.42,0.15,0.3,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,15.0,Fluminense
Keno,br BRA,"FW,MF",36-078,,4,487.0,5.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.4,1.7,27.0,11.0,53.0,0.18,0.37,0.55,0.18,0.55,0.24,0.07,0.31,0.24,0.31,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,17.0,Fluminense
Manoel,br BRA,DF,35-274,,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,5.0,Fluminense
Thiago dos Santos,br BRA,"MF,DF",36-083,,3,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,9.0,Fluminense
Yeferson Soteldo,ve VEN,"FW,MF",28-150,,2,384.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,32.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,14.0,Fluminense
Otávio,br BRA,MF,31-207,,2,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,6.0,Fluminense
Davi Schuindt,br BRA,DF,21-215,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,2.0,Fluminense
Julio Cesar,br BRA,DF,19-021,,2,176.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,11.0,3.0,4.0,0.0,0.51,0.51,0.0,0.51,0.15,0.09,0.24,0.15,0.24,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,3.0,Fluminense
Santiago Moreno,co COL,FW,25-220,,2,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,5.0,Fluminense
Igor Rabello,br BRA,DF,30-213,,2,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,4.0,Fluminense
Riquelme,br BRA,"FW,MF",18-259,,0,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,7.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.18,0.08,0.18,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,6.0,Fluminense
Joaquín Lavega,uy URU,"FW,DF",20-297,,0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,2.0,Fluminense
Rubén Lezcano,py PAR,"MF,FW",21-291,,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.21,0.33,0.12,0.33,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,4.0,Fluminense
Paulo Baya,br BRA,"MF,FW",26-124,,0,38.0,0.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,1.0,4.0,2.37,2.37,4.74,2.37,4.74,0.12,0.03,0.15,0.12,0.15,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,4.0,Fluminense
Isaque,br BRA,MF,18-217,,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fluminense,https://fbref.com/en/squads/84d9701c/Fluminense-Stats,1.0,Fluminense
