Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 34,Unnamed: 35,MP.1,Clube
Saúl Ñíguez,es ESP,MF,31-006,15.0,12,1150.0,12.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,1.4,2.8,15.0,76.0,18.0,0.0,0.16,0.16,0.0,0.16,0.11,0.11,0.22,0.11,0.22,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Nicolás De La Cruz,uy URU,MF,28-179,18.0,12,1012.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,1.1,1.8,7.0,92.0,21.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.16,0.06,0.16,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Wesley,br BRA,DF,22-082,11.0,11,982.0,10.9,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,1.0,1.4,35.0,46.0,124.0,0.09,0.18,0.27,0.09,0.27,0.03,0.1,0.13,0.03,0.13,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Jorge Carrascal,co COL,"FW,MF",27-186,15.0,10,746.0,8.3,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,2.1,2.1,1.5,3.6,20.0,35.0,62.0,0.24,0.48,0.72,0.24,0.72,0.26,0.18,0.43,0.26,0.43,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Evertton,br BRA,MF,22-272,17.0,9,891.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.3,0.3,0.1,0.4,3.0,43.0,7.0,0.1,0.0,0.1,0.1,0.1,0.03,0.01,0.04,0.03,0.04,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Everton Soares,br BRA,"FW,MF",29-250,22.0,9,846.0,9.4,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,1.0,3.0,42.0,33.0,107.0,0.11,0.32,0.43,0.11,0.43,0.22,0.1,0.32,0.22,0.32,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Gerson,br BRA,"FW,MF",28-191,9.0,9,711.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,1.6,2.3,11.0,60.0,45.0,0.0,0.25,0.25,0.0,0.25,0.09,0.21,0.3,0.09,0.3,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Allan,br BRA,MF,28-269,13.0,9,683.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,7.0,52.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Michael,br BRA,FW,29-260,14.0,5,531.0,5.9,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,2.1,3.4,21.0,25.0,87.0,0.17,0.51,0.68,0.17,0.68,0.23,0.35,0.58,0.23,0.58,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Wallace,br BRA,"FW,MF",20-292,16.0,3,353.0,3.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.2,1.2,2.2,3.4,16.0,10.0,53.0,0.25,0.51,0.76,0.25,0.76,0.31,0.55,0.86,0.31,0.86,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
