atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
145269,Davide Ancelotti,Botafogo,263,Técnico,6,Provável,6.77,11.31,0.42,5.79,24,Fortaleza,356,1,5.79,4,4,3.0713127236010735,0.4959785522788205,0.5119363395225464
145647,Bernardo,Juventude,286,Zagueiro,3,Provável,2.7,1.94,0.94,2.7,1,Corinthians,264,-1,2.7,3,2,2.0,0.2464292402009341,1.3917525773195878
37656,Fábio,Fluminense,266,Goleiro,1,Provável,11.5,9.6,1.0,4.33,36,Bahia,265,1,4.33,3,4,3.7943933157911602,0.20335442801904738,0.4510416666666667
146807,Rayan Lelis,Cruzeiro,283,Atacante,5,Provável,0.6,1.13,0.13,0.6,1,Santos,277,-1,0.6,3,3,2.0,0.2048780487804878,0.5309734513274337
38913,Nenê,Juventude,286,Meia,4,Provável,1.0,4.42,-0.14,2.76,23,Corinthians,264,-1,2.76,3,2,3.6296429990283134,0.2464292402009341,0.6244343891402715
39656,Alan Franco,Atlético-MG,282,Meia,4,Provável,1.2,4.58,-0.54,2.38,26,Vasco,267,1,2.38,3,3,2.7050949080463815,0.6103854416158424,0.519650655021834
37715,Thiago Silva,Fluminense,266,Zagueiro,3,Provável,13.9,9.91,1.32,4.22,23,Bahia,265,1,4.22,3,4,4.141084045886875,0.20335442801904738,0.425832492431887
39850,Vagner Mancini,Bragantino,280,Técnico,6,Provável,3.04,8.44,-0.49,4.26,5,Internacional,285,-1,4.26,4,3,2.9790542602836703,0.24997982949197217,0.504739336492891
40006,Abel Braga,Internacional,285,Técnico,6,Provável,7.58,10.55,0.96,5.6,2,Bragantino,280,1,5.6,3,3,2.807213921310594,0.19089368797568781,0.5308056872037914
39148,Hulk,Atlético-MG,282,Atacante,5,Provável,19.2,15.51,0.26,6.19,27,Vasco,267,1,6.19,3,3,6.00709787399247,0.6103854416158424,0.39909735654416506
42500,Fagner,Cruzeiro,283,Lateral,2,Provável,4.2,8.68,0.17,5.91,10,Santos,277,-1,5.91,3,3,3.8222884361189817,0.2048780487804878,0.6808755760368664
40990,Dorival Júnior,Corinthians,264,Técnico,6,Provável,4.65,9.87,0.06,5.11,32,Juventude,286,1,5.11,2,2,2.05671148224833,0.5862260807264457,0.5177304964539008
63013,Marcos Rocha,Grêmio,284,Lateral,2,Provável,9.4,10.76,0.73,6.56,11,Sport,292,-1,6.56,2,2,3.408892115416012,0.33,0.6096654275092936
