atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
98484,Kanu,Bahia,265,Zagueiro,3,Provável,6.2,5.45,0.37,3.4,7,Fluminense,266,-1,3.4,2,2,3.5341194094144583,0.2520296900448832,0.6238532110091742
97900,Vitão,Internacional,285,Zagueiro,3,Provável,7.0,7.16,1.02,2.71,30,Bragantino,280,1,2.71,3,3,3.6345089313982695,0.19089368797568781,0.3784916201117318
98225,Pedro Raul,Ceará,354,Atacante,5,Provável,10.4,8.63,1.08,3.93,31,Palmeiras,275,1,3.93,5,5,3.836354115983795,0.42358977558054306,0.455388180764774
98720,Angileri,Corinthians,264,Lateral,2,Provável,0.0,4.49,-0.05,2.68,28,Juventude,286,1,2.68,2,2,2.930138953311649,0.5862260807264457,0.5968819599109132
98517,Jean Lucas,Bahia,265,Meia,4,Provável,6.3,6.96,0.52,4.18,32,Fluminense,266,-1,4.18,2,2,3.7878200386450893,0.2520296900448832,0.6005747126436781
99248,Bareiro,Fortaleza,356,Atacante,5,Provável,12.7,7.08,2.01,4.07,18,Botafogo,263,-1,4.07,5,4,5.2810705242737415,0.2520107238605898,0.574858757062147
99440,Baralhas,Vitória,287,Meia,4,Provável,13.0,7.59,0.69,4.04,26,São Paulo,276,1,4.04,4,3,3.4882395824563694,0.2900587023564293,0.5322793148880105
99198,Vegetti,Vasco,267,Atacante,5,Provável,0.5,12.64,-0.12,5.31,32,Atlético-MG,282,-1,5.31,3,4,6.095019615465009,0.23652435862613894,0.4200949367088607
99267,Pochettino,Fortaleza,356,Meia,4,Provável,6.2,10.39,-0.75,4.7,23,Botafogo,263,-1,4.7,5,4,5.407442536228074,0.2520107238605898,0.4523580365736285
99366,Luis Zubeldía,Fluminense,266,Técnico,6,Provável,8.75,9.45,0.4,5.65,25,Bahia,265,1,5.65,3,4,2.8022700321941376,0.20335442801904738,0.597883597883598
100830,Brenno,Fortaleza,356,Goleiro,1,Provável,-1.4,5.49,-1.26,3.83,12,Botafogo,263,-1,3.83,5,4,4.595915131661582,0.2520107238605898,0.697632058287796
100084,Igor Gomes,Atlético-MG,282,Meia,4,Provável,5.0,5.75,0.03,2.96,28,Vasco,267,1,2.96,3,3,3.229665732044222,0.6103854416158424,0.5147826086956522
100742,Matheus Henrique,Cruzeiro,283,Meia,4,Provável,3.7,5.81,0.39,2.0,17,Santos,277,-1,2.0,3,3,2.8101313555231036,0.2048780487804878,0.34423407917383825
100085,Pedro Augusto,Sport,292,Meia,4,Provável,2.4,2.63,-0.05,1.88,14,Grêmio,284,1,1.88,2,3,3.0180045805716813,0.33,0.714828897338403
100987,Nonato,Fluminense,266,Meia,4,Provável,2.9,5.1,0.01,2.77,20,Bahia,265,1,2.77,3,4,3.4211840055746783,0.20335442801904738,0.5431372549019609
100848,Luan Cândido,Sport,292,Lateral,2,Provável,0.0,6.89,-0.37,2.89,13,Grêmio,284,1,2.89,2,3,4.093177563226712,0.33,0.41944847605224966
100898,Vitinho,Botafogo,263,Lateral,2,Provável,7.2,9.97,0.32,5.49,32,Fortaleza,356,1,5.49,4,4,3.9863767504808414,0.4959785522788205,0.5506519558676028
