atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
82628,Tinga,Coritiba,294,Lateral,2,Provável,0,5,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
71227,Maicon,Coritiba,294,Zagueiro,3,Provável,0,5,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
104811,Sebastián Gómez,Coritiba,294,Meia,4,Provável,0,4,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
84626,Josué,Coritiba,294,Meia,4,Provável,0,6,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
84428,Fernando Sobral,Coritiba,294,Meia,4,Provável,0,5,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
97878,Jacy,Coritiba,294,Zagueiro,3,Provável,0,3,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
126977,Fernando Seabra,Coritiba,294,Técnico,6,Provável,0,4,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
125803,Pedro Morisco,Coritiba,294,Goleiro,1,Provável,0,6,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
98224,Jáderson,Remo,364,Meia,4,Provável,0,4,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
82730,Marcelo Rangel,Remo,364,Goleiro,1,Provável,0,4,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
97795,Marcelinho,Remo,364,Lateral,2,Provável,0,3,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
96831,Carlinhos,Remo,364,Atacante,5,Provável,0,4,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
132553,Jemmes,Fluminense,266,Zagueiro,3,Provável,0,6,0,0,0,Grêmio,284,1,0.0,2,3,2.0,0.5568469715569253,0.0
107172,Patrick de Paula,Remo,364,Meia,4,Provável,0,5,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
122441,Kayky Almeida,Remo,364,Zagueiro,3,Provável,0,2,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
68822,Rafael Santos,Chapecoense,315,Goleiro,1,Provável,0,3,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
68938,Giovanni Augusto,Chapecoense,315,Meia,4,Provável,0,5,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
97432,Victor Caetano,Chapecoense,315,Zagueiro,3,Provável,0,3,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
73481,Gilmar Dal Pozzo,Chapecoense,315,Técnico,6,Provável,0,3,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
95332,Marcinho,Chapecoense,315,Atacante,5,Provável,0,3,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
101393,Eduardo Doma,Chapecoense,315,Zagueiro,3,Provável,0,2,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
105664,Walter Clar,Chapecoense,315,Lateral,2,Provável,0,4,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
104470,Everton,Chapecoense,315,Lateral,2,Provável,0,3,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
103987,Higor Meritão,Chapecoense,315,Meia,4,Provável,0,4,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
109336,Rafael Carvalheira,Chapecoense,315,Meia,4,Provável,0,4,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
