atleta_id,rodada_real,apelido,posicao,rodada_x,preco_num,rodada_y,media_acumulada,media_previa,perfil
68928,2,Rafael,Goleiro,2,5.0,2,2.96,2.96,Inesperado
68928,2,Rafael,Goleiro,2,5.0,2,2.466666666666667,2.466666666666667,Inesperado
68928,2,Rafael,Goleiro,2,5.0,2,2.1142857142857143,2.1142857142857143,Inesperado
68928,2,Rafael,Goleiro,2,5.0,2,1.2875,1.2875,Inesperado
68928,2,Rafael,Goleiro,2,5.0,2,1.1444444444444446,1.1444444444444446,Inesperado
68928,2,Rafael,Goleiro,2,5.0,2,2.23,2.23,Inesperado
68928,2,Rafael,Goleiro,2,7.49,2,2.96,2.96,Inesperado
68928,2,Rafael,Goleiro,2,7.49,2,2.466666666666667,2.466666666666667,Inesperado
68928,2,Rafael,Goleiro,2,7.49,2,2.1142857142857143,2.1142857142857143,Inesperado
68928,2,Rafael,Goleiro,2,7.49,2,1.2875,1.2875,Inesperado
68928,2,Rafael,Goleiro,2,7.49,2,1.1444444444444446,1.1444444444444446,Inesperado
68928,2,Rafael,Goleiro,2,7.49,2,2.23,2.23,Inesperado
68928,2,Rafael,Goleiro,2,0.0,2,2.96,2.96,Inesperado
68928,2,Rafael,Goleiro,2,0.0,2,2.466666666666667,2.466666666666667,Inesperado
68928,2,Rafael,Goleiro,2,0.0,2,2.1142857142857143,2.1142857142857143,Inesperado
68928,2,Rafael,Goleiro,2,0.0,2,1.2875,1.2875,Inesperado
68928,2,Rafael,Goleiro,2,0.0,2,1.1444444444444446,1.1444444444444446,Inesperado
68928,2,Rafael,Goleiro,2,0.0,2,2.23,2.23,Inesperado
107093,2,Luciano Juba,Lateral,2,1.0,2,2.5,2.5,Inesperado
107093,2,Luciano Juba,Lateral,2,1.0,2,1.6666666666666667,1.6666666666666667,Inesperado
107093,2,Luciano Juba,Lateral,2,0.0,2,2.5,2.5,Inesperado
107093,2,Luciano Juba,Lateral,2,0.0,2,1.6666666666666667,1.6666666666666667,Inesperado
110426,2,Bernabéi,Lateral,2,0.0,2,12.5,12.5,Inesperado
97900,2,Vitão,Zagueiro,2,2.0,2,1.4666666666666668,1.4666666666666668,Inesperado
97900,2,Vitão,Zagueiro,2,2.0,2,1.1,1.1,Inesperado
97900,2,Vitão,Zagueiro,2,2.0,2,0.8800000000000001,0.8800000000000001,Inesperado
97900,2,Vitão,Zagueiro,2,2.0,2,0.8000000000000002,0.8000000000000002,Inesperado
97900,2,Vitão,Zagueiro,2,5.0,2,1.4666666666666668,1.4666666666666668,Inesperado
97900,2,Vitão,Zagueiro,2,5.0,2,1.1,1.1,Inesperado
97900,2,Vitão,Zagueiro,2,5.0,2,0.8800000000000001,0.8800000000000001,Inesperado
97900,2,Vitão,Zagueiro,2,5.0,2,0.8000000000000002,0.8000000000000002,Inesperado
97900,2,Vitão,Zagueiro,2,4.41,2,1.4666666666666668,1.4666666666666668,Inesperado
97900,2,Vitão,Zagueiro,2,4.41,2,1.1,1.1,Inesperado
97900,2,Vitão,Zagueiro,2,4.41,2,0.8800000000000001,0.8800000000000001,Inesperado
97900,2,Vitão,Zagueiro,2,4.41,2,0.8000000000000002,0.8000000000000002,Inesperado
97900,2,Vitão,Zagueiro,2,0.0,2,1.4666666666666668,1.4666666666666668,Inesperado
97900,2,Vitão,Zagueiro,2,0.0,2,1.1,1.1,Inesperado
97900,2,Vitão,Zagueiro,2,0.0,2,0.8800000000000001,0.8800000000000001,Inesperado
97900,2,Vitão,Zagueiro,2,0.0,2,0.8000000000000002,0.8000000000000002,Inesperado
105300,2,Ferraresi,Zagueiro,2,6.0,2,,0.0,Inesperado
105300,2,Ferraresi,Zagueiro,2,6.0,2,0.0,0.0,Inesperado
105300,2,Ferraresi,Zagueiro,2,0.0,2,,0.0,Inesperado
