time_casa,time_visitante,odd_casa,odd_empate,odd_visitante,rodada_id,ano
Atlético-MG,Palmeiras,2.66,2.8,3.19,1,2026
Corinthians,Bahia,3.11,2.39,3.24,1,2026
Botafogo,Cruzeiro,2.35,3.33,3.1,1,2026
Coritiba,Bragantino,3.75,2.17,3.12,1,2026
Chapecoense,Santos,3.31,2.3,3.22,1,2026
São Paulo,Flamengo,2.04,3.76,3.42,1,2026
Fluminense,Grêmio,1.71,5.33,3.6,1,2026
Mirassol,Vasco,1.76,4.7,3.68,1,2026
Vitória,Remo,5.22,1.71,3.65,1,2026
