apelido;atleta_id;rodada;clube_id;posicao_id;status_id;pontuacao;preco_num;variacao_num;FC;FD;FF;FS;G;I;DS;CA;PE;A;SG;DD;FT;GS;CV;GC;ano;PP;DP;DE;PS;V;PC;posicao;clube;rodada_real;media_pre_rodada;perfil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
João Ricardo;81881;6;356;1;0;16,7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;9.0;0.0;0.0;0.0;Goleiro;Fortaleza;6;4.38;Inesperado;;;;;;Derik Lacerda;;;;;;;;;;;;;;;;;1;;;;;;1;;;;1;;;;;;;;;;;;;3;0,078947368
Vitinho;100898;6;263;2;0;15,1;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Botafogo;6;4.34;Inesperado;;;;;;Gustavo Gómez;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;3;0,078947368
Hereda;104271;6;292;2;0;13,5;0.0;0.0;2.0;1.0;0.0;1.0;0.0;1.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Sport;6;5.06;Inesperado;;;;;;Rossi;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;3;0,078947368
Kuscevic;98619;6;356;3;0;8,5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Fortaleza;6;31.399.999.999.999.900;Inesperado;;;;;;Jean Lucas;;;;;;;;;;;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;3;0,078947368
Victor Gabriel;111466;6;285;3;0;17,2;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Internacional;6;0.0;Inesperado;;;;;;Samuel Xavier;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;3;0,078947368
Alan Patrick;68685;6;285;4;0;17,7;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Internacional;6;5.975;Inesperado;;;;;;Jhon Jhon;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;3;0,078947368
Arrascaeta;87863;6;262;4;0;19,2;0.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;1.0;0.0;0.0;Meia;Flamengo;6;12.075.000.000.000.000;Inesperado;;;;;;Fábio;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;1;;3;0,078947368
Matheus Pereira;96610;6;283;4;0;9,6;0.0;0.0;3.0;2.0;2.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Cruzeiro;6;5.275;Inesperado;;;;;;Jorginho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;3;0,078947368
Hulk;39148;6;282;5;0;15,9;0.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Atlético-MG;6;3.2;Inesperado;;;;;;Fabrício Bruno;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;3;0,078947368
Pedro;94583;6;262;5;0;26;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Flamengo;6;9.299.999.999.999.990;Inesperado;;;;;;Leonardo Jardim;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;3;0,078947368
Igor Jesus;104528;6;263;5;0;13,4;0.0;0.0;1.0;2.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Botafogo;6;7.840.000.000.000.000;Inesperado;;;;;;Fernando Diniz;;;;;;;;;1;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;3;0,078947368
Filipe Luís;139076;6;262;6;0;10,56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Flamengo;6;7.128;Inesperado;;;;;;Pochettino;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;0,052631579
Rossi;99552;7;262;1;0;15,4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2025;0.0;1.0;8.0;0.0;0.0;0.0;Goleiro;Flamengo;7;4.95;Inesperado;;;;;;Vitão;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;0,052631579
Natanael;107554;7;282;2;0;14,4;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Atlético-MG;7;37.166.666.666.666.600;Inesperado;;;;;;Rogério Ceni;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;2;0,052631579
Aguirre;110510;7;285;2;0;12,9;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Internacional;7;4.1;Inesperado;;;;;;Gastón Ávila;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;0,052631579
Marllon;70666;7;354;3;0;15,2;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Ceará;7;38.200.000.000.000.000;Inesperado;;;;;;Bruno Henrique;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;0,052631579
Pedro Henrique;87225;7;280;3;0;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Bragantino;7;5.8;Inesperado;;;;;;Juan Vojvoda;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;0,052631579
Arrascaeta;87863;7;262;4;0;12;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;7;13.5;Inesperado;;;;;;Alexsander;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;2;0,052631579
Gustavo Scarpa;87999;7;282;4;0;12,5;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Atlético-MG;7;3.233.333.333.333.330;Inesperado;;;;;;Carlos Vinícius;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;2;0,052631579
Arias;99815;7;266;4;0;14,5;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Fluminense;7;6.0;Inesperado;;;;;;Jemmes;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;2;0,052631579
Memphis Depay;85048;7;264;5;0;13,7;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Corinthians;7;8.559.999.999.999.990;Inesperado;;;;;;Yuri Alberto;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;0,052631579
Yuri Alberto;100652;7;264;5;0;24,1;0.0;0.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Corinthians;7;4.083.333.333.333.330;Inesperado;;;;;;Wendell;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Cristian Olivera;113397;7;284;5;0;13,9;0.0;0.0;2.0;1.0;1.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Grêmio;7;6.366.666.666.666.660;Inesperado;;;;;;Zé Ivaldo;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;0,052631579
Léo Condé;37457;7;354;6;0;10,06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Ceará;7;4.428.333.333.333.330;Inesperado;;;;;;Erick;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Gabriel Brazão;103056;8;277;1;0;14,1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;7.0;0.0;0.0;0.0;Goleiro;Santos;8;29.857.142.857.142.800;Inesperado;;;;;;Alysson;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;0,052631579
Alex Telles;72493;8;263;2;0;14,5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Botafogo;8;3.75;Inesperado;;;;;;Rafael Guanaes;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;2;0,052631579
Cuiabano;116065;8;263;2;0;15,7;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Botafogo;8;4.385.714.285.714.280;Inesperado;;;;;;Guilherme;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;2;0,052631579
Léo Ortiz;97867;8;262;3;0;10,7;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Flamengo;8;36.166.666.666.666.600;Inesperado;;;;;;Ricardo Mathias;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Gastón Ávila;105258;8;356;3;0;12,7;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Fortaleza;8;0.0;Inesperado;;;;;;Lucas Arcanjo;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Arrascaeta;87863;8;262;4;0;12;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;8;13.25;Inesperado;;;;;;Igor Vinícius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;2;0,052631579
Matheus Pereira;96610;8;283;4;0;25,6;0.0;0.0;0.0;0.0;2.0;3.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Cruzeiro;8;66.499.999.999.999.900;Inesperado;;;;;;Lucas Barbosa;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;2;0,052631579
Pochettino;99267;8;356;4;0;23,7;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Fortaleza;8;0.0;Inesperado;;;;;;Erick Pulga;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Renato Kayzer;92696;8;287;5;0;16,9;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Vitória;8;0.0;Inesperado;;;;;;Lucas Halter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;2;0,052631579
Kaio Jorge;103445;8;283;5;0;17,7;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Cruzeiro;8;10.65;Inesperado;;;;;;Carlos Miguel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;2;0,052631579
Lucero;105568;8;356;5;0;26,5;0.0;0.0;2.0;0.0;2.0;2.0;2.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Fortaleza;8;13.666.666.666.666.600;Inesperado;;;;;;Lucas Lima;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;2;0,052631579
Juan Vojvoda;104754;8;356;6;0;14,07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Fortaleza;8;4.201.428.571.428.570;Inesperado;;;;;;Danilo;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;0,052631579
Walter;51413;9;2305;1;0;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2025;0.0;0.0;10.0;0.0;0.0;0.0;Goleiro;Mirassol;9;5.1;Inesperado;;;;;;Lucas Mugni;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;0,052631579
Diego;101027;9;354;2;0;12,9;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Ceará;9;7.028.571.428.571.420;Inesperado;;;;;;Dudu;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;0,052631579
Natanael;107554;9;282;2;0;18,2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Atlético-MG;9;4.925;Inesperado;;;;;;Lucas Sasha;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;0,052631579
Murilo;97653;9;275;3;0;10,4;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Palmeiras;9;1.15;Inesperado;;;;;;Philippe Coutinho;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;2;0,052631579
Villalba;106593;9;283;3;0;10,6;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Cruzeiro;9;5.283.333.333.333.330;Inesperado;;;;;;Lucho Acosta;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;2;0,052631579
Lucas Mugni;81121;9;354;4;0;12,4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Ceará;9;4.616.666.666.666.660;Inesperado;;;;;;Rafael;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;0,052631579
Michel Araújo;107173;9;265;4;0;10,3;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Bahia;9;-0.6;Inesperado;;;;;;Wesley;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Hércules;116447;9;266;4;0;15,3;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Fluminense;9;15.999.999.999.999.900;Inesperado;;;;;;Carlos Eduardo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;2;0,052631579
Vegetti;99198;9;267;5;0;18,6;0.0;0.0;2.0;0.0;1.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Vasco;9;7.783.333.333.333.330;Inesperado;;;;;;Breno Bidon;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Erick Pulga;109401;9;265;5;0;15,7;0.0;0.0;2.0;0.0;1.0;5.0;1.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Bahia;9;59.125;Inesperado;;;;;;Renato Kayzer;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;0,052631579
Ricardo Mathias;124280;9;285;5;0;13,1;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Internacional;9;2.6;Inesperado;;;;;;Luiz Araújo;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Fernando Diniz;72391;9;267;6;0;9,23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Vasco;9;2.64;Inesperado;;;;;;Rodrigo Nestor;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;2;0,052631579
Rossi;99552;10;262;1;0;14,6;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;1.0;2.0;0.0;0.0;0.0;Goleiro;Flamengo;10;6.699.999.999.999.990;Inesperado;;;;;;Lyanco;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Reinaldo;78850;10;2305;2;0;18,3;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Mirassol;10;57.555.555.555.555.500;Inesperado;;;;;;Igor Formiga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;2;0,052631579
Souza;130811;10;277;2;0;18,9;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Santos;10;0.0;Inesperado;;;;;;Mancuso;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;2;0,052631579
Lyanco;92087;10;282;3;0;9,6;0.0;0.0;4.0;0.0;1.0;3.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Atlético-MG;10;6.066.666.666.666.660;Inesperado;;;;;;André Silva;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
João Victor;104250;10;267;3;0;10,9;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Vasco;10;2.975;Inesperado;;;;;;Marllon;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Emiliano Martínez;108683;10;275;4;0;10,4;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Palmeiras;10;40.375;Inesperado;;;;;;Tiago Volpi;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;0,052631579
Jhon Jhon;115248;10;280;4;0;11,5;0.0;0.0;1.0;0.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Bragantino;10;4.111.111.111.111.110;Inesperado;;;;;;Marlon;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;2;0,052631579
Gustavo Prado;124271;10;285;4;0;12,4;0.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Internacional;10;2.575;Inesperado;;;;;;Flaco López;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;2;0,052631579
Gabriel;83257;10;283;5;0;13,9;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Cruzeiro;10;2.542.857.142.857.140;Inesperado;;;;;;Cuiabano;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;0,052631579
Kaio Jorge;103445;10;283;5;0;13,8;0.0;0.0;1.0;3.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Cruzeiro;10;10.65;Inesperado;;;;;;João Ricardo;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;0,052631579
Chrystian Barletta;107726;10;292;5;0;9,7;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Sport;10;42.444.444.444.444.400;Inesperado;;;;;;Maurício;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;2;0,052631579
Fernando Seabra;126977;10;280;6;0;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Bragantino;10;6.623.333.333.333.330;Inesperado;;;;;;Felipe Anderson;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;2;0,052631579
Tiago Volpi;72018;11;284;1;0;11,5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;5.0;0.0;0.0;0.0;Goleiro;Grêmio;11;33.200.000.000.000.000;Inesperado;;;;;;Gustavo Henrique;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;2;0,052631579
Reinaldo;78850;11;2305;2;0;16;0.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Mirassol;11;7.01;Inesperado;;;;;;John;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Varela;84816;11;262;2;0;16,7;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Flamengo;11;5.32;Inesperado;;;;;;Natanael;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Léo Ortiz;97867;11;262;3;0;13,8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Flamengo;11;4.877.777.777.777.770;Inesperado;;;;;;Luciano;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
Edu;105842;11;287;3;0;16,7;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Vitória;11;1.125;Inesperado;;;;;;Fernando Seabra;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0,052631579
