apelido;atleta_id;rodada;clube_id;posicao_id;status_id;pontuacao;preco_num;variacao_num;FC;FD;FF;FS;G;I;DS;CA;PE;A;SG;DD;FT;GS;CV;GC;ano;PP;DP;DE;PS;V;PC;posicao;clube;rodada_real;media_pre_rodada;perfil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rafael;68928;2;276;1;0;13,8;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;6.0;0.0;0.0;0.0;Goleiro;São Paulo;2;7.6;Inesperado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luciano Juba;107093;2;265;2;0;15,7;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Bahia;2;5.0;Inesperado;;;;;;Contagem de atleta_id;Rótulos de Coluna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bernabéi;110426;2;285;2;0;14,5;0.0;0.0;4.0;1.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Internacional;2;12.5;Inesperado;;;;;;Rótulos de Linha;Atlético-MG;Bahia;Botafogo;Bragantino;Ceará;Corinthians;Cruzeiro;Flamengo;Fluminense;Fortaleza;Grêmio;Internacional;Juventude;Mirassol;Palmeiras;Santos;São Paulo;Sport;Vasco;Vitória;(vazio);Total Geral;;;;;;;;;;;;;;;;;;;
Vitão;97900;2;285;3;0;9,5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Internacional;2;4.4;Inesperado;;;;;;Atacante;6;5;3;4;3;6;11;10;4;2;7;7;4;3;8;3;8;6;10;4;;114;;;;;;;;;;;;;;;;;;;
Ferraresi;105300;2;276;3;0;10,5;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;São Paulo;2;0.0;Inesperado;;;;;;Goleiro;1;;2;1;;;2;3;3;3;2;;2;4;3;3;2;2;2;3;;38;;;;;;;;;;;;;;;;;;;
Lucas Sasha;68991;2;356;4;0;13,4;0.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Fortaleza;2;1.8;Inesperado;;;;;;Lateral;2;5;5;2;1;2;6;4;5;4;3;2;3;11;2;5;4;2;7;1;;76;;;;;;;;;;;;;;;;;;;
Arrascaeta;87863;2;262;4;0;11,8;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;2;0.0;Inesperado;;;;;;Meia;5;8;3;4;3;3;7;21;5;6;2;9;4;2;9;12;4;2;3;2;;114;;;;;;;;;;;;;;;;;;;
Erick;98022;2;265;4;0;19,6;0.0;0.0;5.0;0.0;2.0;1.0;1.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Bahia;2;0.2;Inesperado;;;;;;Técnico;2;2;1;2;1;;3;5;2;1;1;2;1;2;5;1;4;;3;;;38;;;;;;;;;;;;;;;;;;;
Memphis Depay;85048;2;264;5;0;18,4;0.0;0.0;1.0;1.0;0.0;3.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Corinthians;2;0.0;Inesperado;;;;;;Zagueiro;4;1;2;3;3;3;8;5;4;4;2;4;1;5;5;3;13;;2;4;;76;;;;;;;;;;;;;;;;;;;
Pedro Raul;98225;2;354;5;0;13,6;0.0;0.0;1.0;0.0;2.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Ceará;2;9.1;Inesperado;;;;;;(vazio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
