atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,CA,DS,FC,FF,FS,I,SG,A,FD,FT,G,DE,GS,PS,V,CV,DP,PP,PC,GC
140492,João Victor,FLA,262,Zagueiro,3,Provável,0,3.63,0.0,4.7,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
137542,Kaique Kenji,CRU,283,Atacante,5,Nulo,0,1.09,0.0,0.5,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
139001,Figueiredo,PAL,275,Meia,4,Nulo,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
139345,Kauã Prates,CRU,283,Lateral,2,Nulo,0,4.6,0.0,3.84,5,1.0,4.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
140484,Riquelme Felipe,FLU,266,Atacante,5,Nulo,0,3.43,0.0,1.0,5,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
137618,Clayton Sampaio,INT,285,Zagueiro,3,Nulo,0,4.07,0.0,2.59,10,2.0,9.0,13.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
139200,Pedro Kauã,INT,285,Zagueiro,3,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
140542,Ryan Francisco,SAO,276,Atacante,5,Contundido,0,3.62,0.0,2.69,7,0.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
140364,João Marcelo,CAM,282,Atacante,5,Nulo,0,3.46,0.0,1.51,7,0.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
140494,João Alves,FLA,262,Meia,4,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
140906,Davi Gomes,RBB,280,Atacante,5,Nulo,0,2.64,0.0,2.23,6,0.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
139455,Caio Maia,CAM,282,Atacante,5,Contundido,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
140908,Bruno Bertinato,MIR,2305,Goleiro,1,Nulo,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141084,Kauã Branco,BOT,263,Zagueiro,3,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
140726,David Martins,BAH,265,Meia,4,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141151,Felipinho,SPT,292,Lateral,2,Nulo,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141039,Kaio Borges,FLU,266,Lateral,2,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141145,Davi,SPT,292,Goleiro,1,Nulo,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141040,Davi Schuindt,FLU,266,Zagueiro,3,Nulo,0,1.24,0.0,0.7,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141125,Robert,CAM,282,Goleiro,1,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141139,Mateus Iseppe,CAM,282,Meia,4,Nulo,0,2.53,0.0,2.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141131,Vitão,CAM,282,Zagueiro,3,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141162,Jefinho,SPT,292,Meia,4,Nulo,0,1.99,0.0,2.8,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141154,Felype Gabriel,SPT,292,Zagueiro,3,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141138,Zé Phelipe,CAM,282,Meia,4,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141160,Zé Lucas,SPT,292,Meia,4,Nulo,0,5.05,0.0,2.81,23,4.0,36.0,29.0,8.0,25.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141153,Riquelme,SPT,292,Zagueiro,3,Nulo,0,0.91,-0.09,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141156,Adriel,SPT,292,Meia,4,Nulo,0,1.26,0.0,0.9,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141401,Kayke Queiroz,FOR,356,Atacante,5,Nulo,0,2.85,0.0,0.7,2,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141150,Rafinha,SPT,292,Zagueiro,3,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141158,Breno,SPT,292,Meia,4,Nulo,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141161,Gago,SPT,292,Meia,4,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141451,Allan,PAL,275,Meia,4,Nulo,0,5.94,0.58,3.48,22,0.0,25.0,9.0,6.0,11.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
141405,Avellar,VAS,267,Lateral,2,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141526,Lucca Prior,FOR,356,Meia,4,Nulo,0,3.93,0.0,3.41,11,1.0,10.0,12.0,3.0,13.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141467,Pablo,INT,285,Lateral,2,Nulo,0,1.44,0.0,1.4,1,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141465,Bernardo Jacob,INT,285,Meia,4,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141453,Atencio,SPT,292,Meia,4,Nulo,0,3.01,-0.34,0.94,18,1.0,1.0,5.0,6.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141419,Fredi Lippert,BAH,265,Zagueiro,3,Nulo,0,1.5,0.0,1.7,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141433,Gustavo Cintra,FLU,266,Zagueiro,3,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
37457,Léo Condé,CEA,354,Técnico,6,Provável,0,8.98,0.65,5.34,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0
141611,Maik,SAO,276,Lateral,2,Dúvida,0,8.47,0.36,7.6,6,3.0,14.0,9.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141551,Índio,CAM,282,Meia,4,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141595,Gabriel Mec,GRE,284,Atacante,5,Nulo,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141610,João Pedro,SAO,276,Goleiro,1,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141754,Gabriel Bontempo,SAN,277,Meia,4,Nulo,0,6.59,1.21,3.2,21,1.0,25.0,11.0,4.0,19.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141751,Zappelini,BOT,263,Meia,4,Nulo,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141763,Fabiano Souza,CEA,354,Lateral,2,Provável,0,7.58,1.02,4.13,27,6.0,34.0,43.0,6.0,37.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
